+-----+-----------+--------+--------+---------------+---------------+-------------+--------+--------------+-------------+-------------+------------+----------------+-----------------+-----------------+--------+
| Num |    Team   | Spread |  O/U   |    Opponent   | American Odds | Probability | Payout | Model Chance | Push Chance | Bet Percent | Bet Amount | Expected Value | Expected Return | Expected Profit | To Win |
+-----+-----------+--------+--------+---------------+---------------+-------------+--------+--------------+-------------+-------------+------------+----------------+-----------------+-----------------+--------+
|  1  |  Wizards  |   --   |   --   |      Heat     |      +310     |   24.390%   |  4.1x  |   22.142%    |    0.000%   |    0.001%   |   $0.00    |     0.91x      |      $0.00      |      $0.00      | $0.00  |
|  2  |   Kings   |   --   |   --   |   Mavericks   |      +108     |   48.077%   | 2.08x  |   47.109%    |    0.000%   |    0.001%   |   $0.00    |     0.98x      |      $0.00      |      $0.00      | $0.00  |
|  3  |   Lakers  |  -7.5  |   --   |    Clippers   |      +108     |   48.077%   | 2.08x  |   29.953%    |    0.000%   |    0.001%   |   $0.00    |     0.62x      |      $0.00      |      $0.00      | $0.00  |
|  4  | Grizzlies |  -7.5  |   --   |     Hawks     |      -110     |   52.381%   | 1.91x  |   51.550%    |    0.000%   |    0.001%   |   $0.00    |     0.98x      |      $0.00      |      $0.00      | $0.00  |
|  5  |  Wizards  |  9.5   |   --   |      Heat     |      -110     |   52.381%   | 1.91x  |   51.332%    |    0.000%   |    0.001%   |   $0.00    |     0.98x      |      $0.00      |      $0.00      | $0.00  |
|  6  | Mavericks |   --   | o231.5 |     Kings     |      -108     |   51.923%   | 1.93x  |    9.802%    |    0.000%   |    0.001%   |   $0.00    |     0.19x      |      $0.00      |      $0.00      | $0.00  |
|  7  |  Hornets  |   --   | o224.0 |    Warriors   |      -108     |   51.923%   | 1.93x  |    2.282%    |    0.000%   |    0.001%   |   $0.00    |     0.04x      |      $0.00      |      $0.00      | $0.00  |
|  8  |    Jazz   |   --   | o231.5 |    Pistons    |      -110     |   52.381%   | 1.91x  |    8.720%    |    0.000%   |    0.001%   |   $0.00    |     0.17x      |      $0.00      |      $0.00      | $0.00  |
|  9  |    Heat   |   --   | o219.5 |    Wizards    |      -110     |   52.381%   | 1.91x  |   12.922%    |    0.000%   |    0.001%   |   $0.00    |     0.25x      |      $0.00      |      $0.00      | $0.00  |
