Location,displayOrder,team.shortDisplayName,team.uid,team.alternateColor,team.color,team.displayName,Team,team.logo,team.location,team.id,team.abbreviation,team.slug,FGM,FGA,3FM,3FA,FTM,FTA,OREB,TO,Points,Possessions,game_id,Opponent
Away,1,Grizzlies,s:40~l:46~t:29,12173f,5d76a9,Memphis Grizzlies,Grizzlies,https://a.espncdn.com/i/teamlogos/nba/500/mem.png,Memphis,29,MEM,memphis-grizzlies,52.0,107.0,14.0,39.0,14.0,22.0,22.0,12.0,132.0,108.0,401705265,Bucks
Home,2,Bucks,s:40~l:46~t:15,eee1c6,00471b,Milwaukee Bucks,Bucks,https://a.espncdn.com/i/teamlogos/nba/500/mil.png,Milwaukee,15,MIL,milwaukee-bucks,44.0,91.0,20.0,45.0,11.0,19.0,8.0,13.0,119.0,105.0,401705265,Grizzlies
Away,1,Pelicans,s:40~l:46~t:3,b4975a,0a2240,New Orleans Pelicans,Pelicans,https://a.espncdn.com/i/teamlogos/nba/500/no.png,New Orleans,3,NO,new-orleans-pelicans,41.0,92.0,13.0,28.0,18.0,25.0,11.0,12.0,113.0,105.0,401704931,Rockets
Home,2,Rockets,s:40~l:46~t:10,000000,ce1141,Houston Rockets,Rockets,https://a.espncdn.com/i/teamlogos/nba/500/hou.png,Houston,10,HOU,houston-rockets,50.0,87.0,17.0,39.0,16.0,19.0,6.0,12.0,133.0,102.0,401704931,Pelicans
Away,1,Nets,s:40~l:46~t:17,ffffff,000000,Brooklyn Nets,Nets,https://a.espncdn.com/i/teamlogos/nba/500/bkn.png,Brooklyn,17,BKN,brooklyn-nets,41.0,81.0,7.0,28.0,16.0,19.0,9.0,16.0,105.0,97.0,401705373,76ers
Home,2,76ers,s:40~l:46~t:20,e01234,1d428a,Philadelphia 76ers,76ers,https://a.espncdn.com/i/teamlogos/nba/500/phi.png,Philadelphia,20,PHI,philadelphia-76ers,36.0,85.0,10.0,39.0,21.0,24.0,15.0,13.0,103.0,95.0,401705373,Nets
Away,1,Hornets,s:40~l:46~t:30,1d1060,008ca8,Charlotte Hornets,Hornets,https://a.espncdn.com/i/teamlogos/nba/500/cha.png,Charlotte,30,CHA,charlotte-hornets,34.0,84.0,13.0,38.0,8.0,14.0,8.0,22.0,89.0,105.0,401703372,Magic
Home,2,Magic,s:40~l:46~t:19,c4ced4,0077c0,Orlando Magic,Magic,https://a.espncdn.com/i/teamlogos/nba/500/orl.png,Orlando,19,ORL,orlando-magic,43.0,93.0,13.0,44.0,15.0,19.0,8.0,11.0,114.0,105.0,401703372,Hornets
Away,1,Thunder,s:40~l:46~t:25,ef3b24,007ac1,Oklahoma City Thunder,Thunder,https://a.espncdn.com/i/teamlogos/nba/500/okc.png,Oklahoma City,25,OKC,oklahoma-city-thunder,51.0,95.0,19.0,49.0,16.0,19.0,14.0,13.0,137.0,103.0,401704706,Trail Blazers
Home,2,Trail Blazers,s:40~l:46~t:22,000000,e03a3e,Portland Trail Blazers,Trail Blazers,https://a.espncdn.com/i/teamlogos/nba/500/por.png,Portland,22,POR,portland-trail-blazers,39.0,83.0,15.0,35.0,21.0,31.0,11.0,19.0,114.0,106.0,401704706,Thunder
