+-----+---------------+--------+--------+-----------+---------------+-------------+--------+--------------+-------------+-------------+------------+----------------+-----------------+-----------------+--------+
| Num |      Team     | Spread |  O/U   |  Opponent | American Odds | Probability | Payout | Model Chance | Push Chance | Bet Percent | Bet Amount | Expected Value | Expected Return | Expected Profit | To Win |
+-----+---------------+--------+--------+-----------+---------------+-------------+--------+--------------+-------------+-------------+------------+----------------+-----------------+-----------------+--------+
|  1  |    Warriors   |   --   | u224.0 |  Hornets  |      -112     |   52.830%   | 1.89x  |   97.718%    |    0.000%   |   84.539%   |   $4.23    |     1.85x      |      $7.82      |      $3.59      | $3.77  |
|  2  |    Rockets    |   --   | u223.5 |  Thunder  |      -110     |   52.381%   | 1.91x  |   97.450%    |    0.000%   |   83.482%   |   $0.65    |     1.86x      |      $1.20      |      $0.56      | $0.59  |
|  3  | Trail Blazers |   --   | u229.5 |   76ers   |      -110     |   52.381%   | 1.91x  |   97.446%    |    0.000%   |   83.466%   |   $0.11    |     1.86x      |      $0.20      |      $0.09      | $0.10  |
|  4  |     Hawks     |   --   | u253.5 | Grizzlies |      -110     |   52.381%   | 1.91x  |   96.119%    |    0.000%   |   78.506%   |   $0.02    |     1.83x      |      $0.03      |      $0.01      | $0.02  |
|  5  |    Pistons    |   --   | u231.5 |    Jazz   |      -110     |   52.381%   | 1.91x  |   91.280%    |    0.000%   |   64.646%   |   $0.00    |     1.74x      |      $0.01      |      $0.00      | $0.00  |
|  6  |     Kings     |   --   | u231.5 | Mavericks |      -112     |   52.830%   | 1.89x  |   90.198%    |    0.000%   |   61.872%   |   $0.00    |     1.71x      |      $0.00      |      $0.00      | $0.00  |
|  7  |  Timberwolves |   --   | u219.5 |    Suns   |      -114     |   53.271%   | 1.88x  |   87.471%    |    0.000%   |   55.565%   |   $0.00    |     1.64x      |      $0.00      |      $0.00      | $0.00  |
|  8  |    Wizards    |   --   | u219.5 |    Heat   |      -110     |   52.381%   | 1.91x  |   87.078%    |    0.000%   |   55.156%   |   $0.00    |     1.66x      |      $0.00      |      $0.00      | $0.00  |
|  9  |    Clippers   |   --   | u210.5 |   Lakers  |      -112     |   52.830%   | 1.89x  |   85.575%    |    0.000%   |   51.853%   |   $0.00    |     1.62x      |      $0.00      |      $0.00      | $0.00  |
|  10 |    Rockets    |  12.0  |   --   |  Thunder  |      -110     |   52.381%   | 1.91x  |   74.165%    |    2.226%   |   34.664%   |   $0.00    |     1.44x      |      $0.00      |      $0.00      | $0.00  |
|  11 |  Timberwolves |  1.5   |   --   |    Suns   |      -114     |   53.271%   | 1.88x  |   68.556%    |    0.000%   |   22.365%   |   $0.00    |     1.29x      |      $0.00      |      $0.00      | $0.00  |
|  12 | Trail Blazers |   --   |   --   |   76ers   |      +138     |   42.017%   | 2.38x  |   57.670%    |    0.000%   |   18.025%   |   $0.00    |     1.37x      |      $0.00      |      $0.00      | $0.00  |
|  13 |    Clippers   |  7.5   |   --   |   Lakers  |      -145     |   59.184%   | 1.69x  |   70.047%    |    0.000%   |   18.174%   |   $0.00    |     1.18x      |      $0.00      |      $0.00      | $0.00  |
|  14 |    Rockets    |   --   |   --   |  Thunder  |      +500     |   16.667%   |  6.0x  |   29.461%    |    0.000%   |    9.554%   |   $0.00    |     1.77x      |      $0.00      |      $0.00      | $0.00  |
|  15 |  Timberwolves |   --   |   --   |    Suns   |      +102     |   49.505%   | 2.02x  |   60.800%    |    0.000%   |   15.045%   |   $0.00    |     1.23x      |      $0.00      |      $0.00      | $0.00  |
|  16 |    Clippers   |   --   |   --   |   Lakers  |      +235     |   29.851%   | 3.35x  |   41.342%    |    0.000%   |   10.663%   |   $0.00    |     1.38x      |      $0.00      |      $0.00      | $0.00  |
|  17 | Trail Blazers |  3.5   |   --   |   76ers   |      -110     |   52.381%   | 1.91x  |   58.582%    |    0.000%   |    8.724%   |   $0.00    |     1.12x      |      $0.00      |      $0.00      | $0.00  |
|  18 |      Jazz     |  10.5  |   --   |  Pistons  |      -112     |   52.830%   | 1.89x  |   58.878%    |    0.000%   |    8.591%   |   $0.00    |     1.11x      |      $0.00      |      $0.00      | $0.00  |
|  19 |    Hornets    |  12.0  |   --   |  Warriors |      -110     |   52.381%   | 1.91x  |   56.861%    |    2.756%   |    8.569%   |   $0.00    |     1.11x      |      $0.00      |      $0.00      | $0.00  |
|  20 |    Hornets    |   --   |   --   |  Warriors |      +480     |   17.241%   |  5.8x  |   20.178%    |    0.000%   |    2.318%   |   $0.00    |     1.17x      |      $0.00      |      $0.00      | $0.00  |
|  21 |     Hawks     |   --   |   --   | Grizzlies |      +240     |   29.412%   |  3.4x  |   32.823%    |    0.000%   |    3.190%   |   $0.00    |     1.12x      |      $0.00      |      $0.00      | $0.00  |
|  22 |      Jazz     |   --   |   --   |  Pistons  |      +350     |   22.222%   |  4.5x  |   23.096%    |    0.000%   |    0.745%   |   $0.00    |     1.04x      |      $0.00      |      $0.00      | $0.00  |
+-----+---------------+--------+--------+-----------+---------------+-------------+--------+--------------+-------------+-------------+------------+----------------+-----------------+-----------------+--------+
