Team,BT,Odds Projection,BT Projection
Thunder,1.1817978025829796,55.5,55.4
Celtics,1.1806234933810327,56.5,56.4
Knicks,0.9372295331819877,52.5,52.4
Timberwolves,0.9084131630268042,50.5,50.4
Nuggets,0.857626234719156,49.5,49.4
Mavericks,0.7917688445374708,48.5,48.4
Suns,0.7627907210683297,47.5,47.4
76ers,0.7401604438366804,48.5,48.4
Bucks,0.7200613008403719,48.5,48.4
Cavaliers,0.6802580276468386,47.5,47.4
Grizzlies,0.6471943445697362,45.5,45.4
Kings,0.6191318928825967,45.5,45.4
Magic,0.5970704893896224,46.5,46.4
Pelicans,0.5932994683113271,44.5,44.4
Pacers,0.5496922678940646,45.5,45.4
Warriors,0.49679516642086696,42.5,42.4
Rockets,0.44847915075283834,41.5,41.4
Heat,0.4257032473996648,42.5,42.4
Lakers,0.4123094662775507,41.5,41.4
Clippers,0.08399224380415438,34.5,34.4
Spurs,0.06499719016518081,34.5,34.4
Hawks,0.03118622451105323,35.5,35.4
Hornets,-0.24122893060644143,30.5,30.4
Jazz,-0.3689835988548541,26.5,26.4
Bulls,-0.38726456861296527,27.5,27.4
Raptors,-0.39730651124416977,27.5,27.4
Pistons,-0.5104139111692801,25.5,25.4
Trail Blazers,-0.7271108013060462,20.5,20.4
Nets,-0.8666588993399844,19.5,19.4
Wizards,-0.8964079648032547,19.5,19.4
